symbol,name,status,total_return,annual_return,sharpe_ratio,max_drawdown,volatility,total_trades,win_rate,profit_factor,duration_seconds,cache_hit,error_message
512760,芯片 ETF,success,74.13803538000025,29.359923073116654,0.93900846241174,20.589081099543176,28.072082551220134,15.0,46.666666666666664,3.0756672767973416,0.593785,False,
515030,新能源车 ETF,success,60.09242969770013,24.408296476529646,0.8554339853261574,21.350466341235382,25.02624029879658,12.0,58.333333333333336,3.1339590359507556,0.594392,False,
159995,半导体 ETF,skipped,,,,,,,,,0.596705,False,数据不足
515980,人工智能 AI ETF,success,26.52879444160013,11.53894058384861,0.19325519596342713,50.73909228579138,44.18479172722775,15.0,40.0,1.6964702486433512,0.223488,False,
515880,通信 ETF,success,-14.893605956499917,-7.211285369891862,-0.18892935824955143,64.6374049742622,54.04816628024568,12.0,41.66666666666667,0.9206181140756965,0.268482,False,
159819,人工智能 ETF,skipped,,,,,,,,,0.271111,False,数据不足
512010,医药 ETF,success,1.7277303772000596,0.7981673081615348,-0.11682967170377187,25.00363381728948,18.846519550455763,14.0,28.57142857142857,1.06583230230907,0.266868,False,
512170,医疗 ETF,success,23.98217185610009,10.49138429292029,0.37570493984332387,15.909456792816215,19.939541641492237,13.0,46.15384615384615,2.1097135249876233,0.227848,False,
159992,创新药 ETF,skipped,,,,,,,,,0.275735,False,数据不足
512290,生物医药 ETF,success,6.98206505740009,3.1818587723457137,0.00947595053240517,23.800282209553135,19.191612675035216,14.0,35.714285714285715,1.2358039773902243,0.283381,False,
159837,生物科技 ETF,skipped,,,,,,,,,0.355408,False,数据不足
159928,消费 ETF,skipped,,,,,,,,,0.415209,False,数据不足
159736,酒 ETF,skipped,,,,,,,,,0.233454,False,数据不足
510150,消费 50ETF,success,20.001037052800093,8.830366116527099,0.35274863815572616,15.621146143082512,16.528387315710056,12.0,58.333333333333336,2.37329827540851,0.355816,False,
515050,5GETF,success,100.63390186720021,38.14879864166711,1.1903026639188297,18.84469710451463,29.529295117215675,12.0,50.0,3.191682866275347,1.743898,False,
512600,主要消费 ETF,success,-3.7384236823999384,-1.752738567741774,-0.28863748611612267,18.382981977983356,16.46611682943249,15.0,40.0,0.8150422399403665,0.357812,False,
510300,沪深 300ETF,success,18.88411929830008,8.359075585705877,0.360784550018516,17.530034750491854,14.853949775373811,18.0,33.33333333333333,1.9546681455528685,0.211767,False,
510050,上证 50ETF,success,7.1687253254000245,3.2653723029694603,0.021283266937404156,14.413020429076484,12.468588762709329,16.0,37.5,1.427968855416555,0.260802,False,
515650,消费龙头 ETF,success,2.567554545000079,1.1835209205139474,-0.12444106109862565,20.343995522980656,14.597103748949902,18.0,44.44444444444444,1.1075244851835775,0.394626,False,
159915,创业板 ETF,skipped,,,,,,,,,0.20311,False,数据不足
588000,科创 50ETF,success,48.355081321000064,20.08870849303166,0.565026115639135,21.322863341028018,30.24410380341729,16.0,37.5,2.1949133473136273,0.230279,False,
510500,中证 500ETF,success,80.73881101320006,31.61295567234552,1.6550035005204724,11.452606603730416,17.288758400418608,11.0,54.54545454545454,8.15735462590385,0.288792,False,
510880,红利 ETF,success,0.3597097807000682,0.16678220788346465,-0.2354559329075714,10.778174052160068,12.03290041210692,15.0,40.0,0.8585301025352425,0.270032,False,
512880,证券 ETF,success,50.98322686190012,21.071399155259396,0.8252976955506589,13.75721086777838,21.896824930792658,14.0,50.0,2.8960950352368813,0.264225,False,
512000,券商 ETF,success,-29.2778003610999,-14.851265586379014,-0.4473094224529683,54.96910191570586,39.90809200594463,14.0,35.714285714285715,0.6459608391526663,0.265685,False,
512730,银行 ETF,success,14.823164560400082,6.625221955610838,0.29346829024694615,7.752722541057436,12.353027826482737,15.0,46.666666666666664,1.8065232896067753,0.237741,False,
159980,有色 ETF,skipped,,,,,,,,,0.27493,False,数据不足
512400,有色金属 ETF,success,86.79108845990011,33.640326607629945,1.1442654670737151,18.241621040221577,26.7772885657276,13.0,53.84615384615385,3.8164086263088204,0.258331,False,
512640,金融 ETF,success,9.572813412700038,4.3340922627228995,0.09101655250700853,21.046425176475218,14.65768836520336,16.0,31.25,1.3947987368813082,0.363532,False,
159981,能源化工 ETF,skipped,,,,,,,,,0.242397,False,数据不足
159985,豆粕 ETF,skipped,,,,,,,,,0.393795,False,数据不足
512660,军工 ETF,success,69.04178412250022,27.588932213348215,0.9983147326347022,14.31406467914682,24.63044109191331,13.0,61.53846153846154,6.302404064883344,0.290016,False,
515220,煤炭 ETF,success,-43.100843194099916,-23.02608266725815,-0.6707945677403907,58.52795839772743,38.7988870496201,17.0,29.411764705882355,0.2571366441319299,0.40404,False,
512580,环保 ETF,success,41.578533785700245,17.511002502782212,0.7151938630709382,14.86249366262777,20.289607129001475,12.0,50.0,3.4395125010227,0.245054,False,
516160,新能源车 ETF,success,86.69065825350006,33.60697446016048,1.2671301767218566,15.215444154686757,24.154562035088293,13.0,46.15384615384615,8.056309969204175,0.188548,False,
515700,新能源 ETF,success,57.225011332400086,23.369133582446032,0.8103577571939764,23.399655036714844,25.13597655062645,13.0,53.84615384615385,2.8376333485389305,0.312499,False,
515790,光伏 ETF,success,60.470346695000096,24.54450867695148,0.8121033797923152,17.37821206655206,26.52926857964956,13.0,30.76923076923077,2.8252619821485796,0.236403,False,
